City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Omboue,GA,78.58,overcast clouds,-1.5746,9.2618,Hotel Olako
5,Rikitea,PF,78.62,broken clouds,-23.1203,-134.9692,People ThankYou
11,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
12,Ternate,ID,82.15,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
22,Busselton,AU,76.08,clear sky,-33.65,115.3333,Observatory Guest House
23,Carutapera,BR,76.71,broken clouds,-1.195,-46.02,Lidera
24,Broken Hill,AU,80.31,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
25,Puerto Ayora,EC,77.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Bengkulu,ID,78.21,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
29,Carnarvon,AU,87.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
33,Hithadhoo,MV,83.55,overcast clouds,-0.6,73.0833,Scoop Guest House
40,Atuona,PF,77.79,light rain,-9.8,-139.0333,Villa Enata
45,Lorengau,PG,82.53,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
52,Deniliquin,AU,91.99,overcast clouds,-35.5333,144.9667,Riviana Motel
56,Eydhafushi,MV,80.87,few clouds,5.1033,73.0708,Soneva Fushi
59,Tiarei,PF,87.82,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
60,Vaini,TO,80.83,clear sky,-21.2,-175.2,Keleti Beach Resort
63,Haapiti,PF,87.53,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
67,Charters Towers,AU,82.38,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
68,Tomatlan,MX,75.18,clear sky,19.9333,-105.25,El Salvial
72,Nicoya,CR,80.15,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
75,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Morondava,MG,80.11,overcast clouds,-20.2833,44.2833,La Case Bambou
82,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
86,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,Kavieng,PG,82.85,light rain,-2.5744,150.7967,Nusa Island Retreat
98,Bua Yai,TH,77.99,overcast clouds,15.5855,102.4259,Rabiang Mai Resort
100,Bani,DO,78.24,clear sky,18.2833,-70.3333,Hospedaje Henriquez
110,Flinders,AU,81.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
115,Sola,VU,90.27,scattered clouds,-13.8833,167.55,Leumerus Bungalows
119,Kalianget,ID,81.81,broken clouds,-7.05,113.9333,Pesanggrahan Garam
124,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
125,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
126,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
132,Caravelas,BR,77.88,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
133,Chirongui,YT,78.73,broken clouds,-12.9319,45.1483,La Villa Mahatsara
135,Morant Bay,JM,78.42,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
137,Inhambane,MZ,75.56,few clouds,-23.865,35.3833,Oceano
140,Sechura,PE,75.63,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
141,Coolum Beach,AU,75.11,scattered clouds,-26.5333,153.1,Coolum Beach Resort
143,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
149,Labuhan,ID,79.47,scattered clouds,-6.8844,112.2051,DoubleFAG
152,Booue,GA,77.18,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
153,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
156,George Town,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
168,Georgetown,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
170,Kavaratti,IN,80.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
173,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
175,Mataram,ID,85.01,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
179,Mount Isa,AU,87.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
182,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
184,Sao Jose Da Coroa Grande,BR,78.64,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
185,Majene,ID,77.16,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
192,Pringsewu,ID,79.99,overcast clouds,-5.3582,104.9744,Urban Style by Front One
198,Butaritari,KI,82.13,broken clouds,3.0707,172.7902,Isles Sunset Lodge
204,Sinnamary,GF,75.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
213,Vao,NC,79.23,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
216,Barreirinhas,BR,78.73,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
217,Tual,ID,81.84,clear sky,-5.6667,132.75,Grand Vilia Hotel
219,Katobu,ID,81.09,clear sky,-4.9408,122.5276,La Ode Husein
225,Cayenne,GF,78.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
228,Kralendijk,BQ,78.78,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
242,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
244,Moindou,NC,85.95,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
245,Dubbo,AU,78.93,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
262,Fare,PF,81.82,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
264,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
265,Sumbe,AO,77.23,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
267,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
268,Sao Raimundo Nonato,BR,75.7,broken clouds,-9.0153,-42.6994,Real Hotel
280,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
287,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
292,Geraldton,AU,90.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
299,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
301,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
304,Isangel,VU,89.71,volcanic ash,-19.55,169.2667,Tanna Lodge
310,Fram,PY,86.59,clear sky,-26.9833,-55.8833,Albergue Ja'umina
311,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
316,Araceli,PH,80.19,few clouds,10.5529,119.9913,JBryan Traveler's Inn
317,Boyolangu,ID,79.81,broken clouds,-8.1181,111.8935,Yos ega cv
325,Padang,ID,80.19,broken clouds,-0.9492,100.3543,Mercure Padang
329,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
336,Faanui,PF,81.61,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
339,Nanakuli,US,80.04,light rain,21.3906,-158.1547,Camp Pālehua
345,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
349,Sao Joao Da Barra,BR,75.88,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
350,Yeppoon,AU,82.18,broken clouds,-23.1333,150.7333,Villa Mar Colina
356,Mayumba,GA,78.01,overcast clouds,-3.432,10.6554,LIKWALE LODGE
358,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
360,Angoche,MZ,79.86,light rain,-16.2325,39.9086,Guest House HESADA
362,Manutuke,NZ,75.97,clear sky,-38.6833,177.9167,Jolly Stockman Hotel
363,San Pedro,PH,81.63,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
364,Cap Malheureux,MU,76.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
365,Nova Granada,BR,84.45,overcast clouds,-20.5339,-49.3142,Casa do maikão
366,Viedma,AR,83.79,clear sky,-40.8135,-62.9967,Hotel Cristal
370,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
372,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
376,Dingle,PH,80.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
380,Cockburn Town,TC,77.59,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
382,San Policarpo,PH,81.0,overcast clouds,12.1791,125.5072,Agapita M. Nicart
384,Lucea,JM,80.46,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
399,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
400,Jambi,ID,79.56,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
405,Nelson Bay,AU,83.28,clear sky,-32.7167,152.15,Mantra Nelson Bay
413,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
414,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
431,Barra Do Bugres,BR,75.02,few clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
440,Neuquen,AR,87.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
441,Itarema,BR,79.32,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
443,La Asuncion,VE,80.33,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
444,Manaure,CO,77.85,overcast clouds,11.7751,-72.4445,Hotel Palaaima
446,Pijijiapan,MX,78.24,clear sky,15.7011,-93.23,Hotel Rosita
449,Luis Correia,BR,84.2,broken clouds,-2.8792,-41.6669,Hotel Amarração
454,Santo Tomas,PH,80.85,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
460,Vanimo,PG,83.75,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
463,Port-Gentil,GA,80.62,overcast clouds,-0.7193,8.7815,Fengshui Residence
467,Alice Springs,AU,89.15,few clouds,-23.7,133.8833,Desert Palms Alice Springs
474,Pemangkat,ID,77.27,overcast clouds,1.1667,108.9667,Ramah Kost KITA
478,Kulhudhuffushi,MV,80.73,few clouds,6.6221,73.07,Haajy Guest House 1
485,Cassilandia,BR,75.78,overcast clouds,-19.1133,-51.7342,Delirius Motel
487,Finschhafen,PG,84.51,overcast clouds,-6.6024,147.8681,Cossam Guest House
489,Baturaja,ID,76.84,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
493,Jakarta,ID,88.09,haze,-6.2146,106.8451,HARRIS Hotel Tebet - Jakarta
503,Sibolga,ID,78.04,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
504,Honiara,SB,86.47,overcast clouds,-9.4333,159.95,Heritage Park Hotel
507,Mahibadhoo,MV,80.4,overcast clouds,3.7833,72.9667,Omadhoo Inn
513,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
515,Iturama,BR,78.26,overcast clouds,-19.7281,-50.1956,República DominaCana
524,Sinazongwe,ZM,75.18,broken clouds,-17.2614,27.4618,Lakeview Lodge
527,Namibe,AO,76.19,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
531,Bubaque,GW,79.38,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
533,Kirakira,SB,85.08,overcast clouds,-10.4544,161.9205,SanBiz Lodge
536,Santa Cruz,BO,81.86,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
537,Kawalu,ID,77.47,overcast clouds,-7.3817,108.2082,West Jontor
539,Buala,SB,85.6,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
544,Ewa Beach,US,80.02,overcast clouds,21.3156,-158.0072,Base Lodging
547,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
548,Bucerias,MX,76.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
551,Kokopo,PG,77.56,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
560,Moanda,GA,75.02,overcast clouds,-1.5575,13.2178,Heliconia Stadium Moanda
561,Biloela,AU,84.49,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
562,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
563,Kiama,AU,83.25,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
565,Wamba,NG,75.25,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
569,Buchanan,LR,76.96,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
578,Medan,ID,75.24,scattered clouds,3.5833,98.6667,Hotel Santika Premiere Dyandra Hotel & Convention
583,Chumphon,TH,75.31,broken clouds,10.3333,98.8333,สกาน จ๋า.
588,Ndjole,GA,75.06,overcast clouds,-0.1783,10.7649,Motel Kédyann
590,Nambucca Heads,AU,81.0,scattered clouds,-30.65,153.0,Marcel Towers Holiday Apartments
601,Tucuman,AR,78.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
602,Neiafu,TO,81.05,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
608,Luganville,VU,84.81,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
617,Road Town,VG,77.09,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
620,Gizo,SB,81.93,light rain,-8.103,156.8419,Imagination Island
621,Bima,ID,82.54,overcast clouds,-8.4667,118.7167,Lambitu Hotel
626,Ocos,GT,84.7,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
629,Bonthe,SL,76.42,clear sky,7.5264,-12.505,Bonthe Holiday Village
635,Matamoros,MX,84.31,clear sky,25.5333,-103.25,Quinta Belem
638,Ambulu,ID,79.68,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
641,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
643,Uberaba,BR,75.78,few clouds,-19.7483,-47.9319,Tamareiras Park Hotel
647,Saint-Leu,RE,77.86,scattered clouds,-21.15,55.2833,La Caz Oceane
652,Takoradi,GH,79.23,overcast clouds,4.8845,-1.7554,Raybow International Hotel
656,Byron Bay,AU,80.06,scattered clouds,-28.65,153.6167,Backpackers Inn
657,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
659,Kuala Terengganu,MY,75.15,heavy intensity rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
660,Cabedelo,BR,81.27,light rain,-6.9811,-34.8339,Hotel Pigalle
662,Sao Lourenco Da Mata,BR,81.84,scattered clouds,-8.0022,-35.0183,Motel Emoções
663,Presidente Epitacio,BR,77.14,broken clouds,-21.7633,-52.1156,Hotel Itaverá
668,Tabou,CI,78.42,few clouds,4.423,-7.3528,hotêl doufoulougou
679,Namatanai,PG,80.06,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
680,Del Rio,US,78.91,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
683,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
688,Ranong,TH,78.73,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
693,Kieta,PG,77.99,light rain,-6.2167,155.6333,Uruna Bay Retreat
695,Reconquista,AR,80.49,clear sky,-29.15,-59.65,Grand Hotel
698,Lahad Datu,MY,79.74,few clouds,5.0268,118.327,The 27th House
704,Muli,MV,81.46,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
706,Atambua,ID,80.89,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
713,Meulaboh,ID,76.73,light rain,4.1363,96.1285,Kost Pria
714,Rantauprapat,ID,75.54,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
717,Kismayo,SO,76.32,scattered clouds,-0.3582,42.5454,Agan-Hotel
723,Sydney,AU,82.62,scattered clouds,-33.8679,151.2073,The Grace Sydney
